Facility.ID,PSI_03.x,PSI_06.x,PSI_08.x,PSI_09.x,PSI_10.x,PSI_11.x,PSI_12.x,PSI_13.x,PSI_14.x,PSI_15.x,PSI_90.x,MORT_30_COPD,MORT_30_HF,MORT_30_PN,READM-30-HF-HRRP,READM-30-COPD-HRRP,READM-30-PN-HRRP,H_COMP_1_STAR_RATING.x,H_COMP_2_STAR_RATING.x,H_COMP_3_STAR_RATING.x,H_COMP_5_STAR_RATING.x,H_COMP_6_STAR_RATING.x,H_COMP_7_STAR_RATING.x,H_CLEAN_STAR_RATING.x,H_QUIET_STAR_RATING.x,H_HSP_RATING_STAR_RATING.x,H_RECMND_STAR_RATING.x,H_STAR_RATING.x,HAI_6_SIR,OP-10,OP_18b,SEP_1,SEP_SH_3HR,SEV_SEP_3HR,SEV_SEP_6HR,EDAC_30_HF,EDAC_30_PN,OP_32,OP_36,READM_30_COPD,READM_30_HF,READM_30_HOSP_WIDE,READM_30_PN,PSI.90.W.Z.Score,CAUTI.W.Z.Score,CDI.W.Z.Score,Total.HAC.Score,MSPB-1.x,MORT.30.COPD.Measure.Score,MORT.30.HF.Measure.Score,MORT.30.PN.Measure.Score,MSPB.1.Measure.Score,Communication.with.Nurses.Dimension.Score,Communication.with.Doctors.Dimension.Score,Responsiveness.of.Hospital.Staff.Dimension.Score,Care.Transition.Dimension.Score,Communication.About.Medicines.Dimension.Score,Cleanliness.and.Quietness.of.Hospital.Environment.Dimension.Score,Discharge.Information.Dimension.Score,Overall.Rating.of.Hospital.Dimension.Score,HCAHPS.Base.Score,HCAHPS.Consistency.Score,HAI.6.Measure.Score,Weighted.Normalized.Clinical.Outcomes.Domain.Score,Unweighted.Person.and.Community.Engagement.Domain.Score,Weighted.Person.and.Community.Engagement.Domain.Score,Unweighted.Normalized.Efficiency.and.Cost.Reduction.Domain.Score,Weighted.Efficiency.and.Cost.Reduction.Domain.Score,Total.Performance.Score
50115,0.286328,0.178811,0.114825,2.975922,1.48485,4.769938,3.264839,5.739383,0.821738,0.899242,0.922837,7.7,12.6,16.1,0.965,1.056,0.9575,3,3,2,3,3,3,2,3,4,4,3,0.527,0.2,240,93,100,96,100,-5,20.9,17.4,1,20.5,21.8,15.6,16.9,-1.0929,-7e-4,0.1503,-0.023,1.01749,0,4,1,0,0,2,0,1,0,0,0,3,6,15,2,7.5,21,5.25,0,0,17.75
50116,0.815565,0.193851,0.090392,2.82649,1.591598,5.573468,4.418746,4.004004,0.835218,1.005955,1.078104,7.9,8.3,15.6,1.0639,0.9808,1.035,3,3,3,4,3,3,4,2,3,3,3,0.338,0.4,191,90,100,91,98,4.7,24,NA,1.2,19.2,21.6,14.7,16.5,1.3448,2.1532,-0.385,0.6374,1.092894,0,10,4,0,3,0,3,3,4,2,2,2,19,19,6,13,38,9.5,0,0,35.5
50118,0.317321,0.219009,0.094104,2.702883,1.416204,5.830949,3.80036,5.381939,0.849726,1.848689,0.999598,8.7,11.4,15.7,1.0238,1.0777,1.0579,3,2,2,3,3,3,3,2,3,3,3,0.637,1.8,134,52,68,79,100,21.8,8.1,17.7,1.1,20.7,22.5,15.9,16.6,0.0525,2.1532,-0.1206,0.3442,0.957993,0,0,4,2,0,0,0,1,2,0,0,0,3,17,6,10.5,20,5,20,5,25.5
50121,0.160181,0.202022,0.092321,3.147423,1.363995,4.560148,3.168079,5.32752,0.824453,1.292491,0.862956,10.4,11.8,17.6,1.0485,1.1646,1.0631,3,2,3,3,3,2,4,2,3,3,3,0.326,1.5,145,75,95,86,96,29,24.9,16.9,0.8,21,23.6,16.1,17.6,-1.4194,-0.4465,0.0084,-0.4498,0.955747,0,3,6,3,0,0,0,0,1,0,1,1,3,15,2,13,18,4.5,30,7.5,34
50122,0.298721,0.219937,0.093744,2.591486,1.338747,6.238344,2.735048,5.057903,0.84892,1.504031,0.916406,7.7,14.2,21.6,1.0228,0.9681,0.9149,4,3,3,3,3,3,3,2,3,3,3,0.589,0.6,143,56,83,86,85,-12.7,-36.3,15.4,0.7,19,21.5,15.3,15.4,-0.1254,1.3285,-0.156,-0.0439,1.018542,0,0,0,0,5,4,2,4,2,3,0,2,22,18,5,4,40,10,0,0,20.25
50124,0.892822,0.281258,0.092692,2.304869,1.365587,5.843095,3.175522,5.855787,0.840858,1.043345,1.129928,8.9,10.7,13.4,1.054,1.0234,1.0815,3,2,2,1,2,2,3,1,3,3,2,0.936,1.4,154,69,92,90,81,19,37.7,16.3,1.1,19.3,22.4,16.7,19.2,2.2286,0.7592,0.8115,0.2326,1.084086,0,4,7,0,0,1,1,0,0,0,2,0,4,13,2,14,17,4.25,0,0,28.25
50125,0.256437,0.208095,0.102653,2.53345,1.345538,4.402372,3.233078,6.116572,0.832901,1.273929,0.919017,7.1,7.9,14.1,1.1227,1.0123,1.2685,2,1,2,2,2,1,2,1,2,2,2,0.242,0.3,161,56,83,76,94,31.4,70.4,15.9,1.1,19.8,24.3,16.5,20.7,-0.934,2.0841,-1.1784,0.1568,0.968977,3,10,4,2,0,0,0,0,0,0,0,0,0,13,7,16.25,13,3.25,20,5,38
50126,0.695704,0.205159,0.092578,2.498742,1.378078,6.202919,5.876928,5.040063,0.841939,1.061268,1.178485,7.1,7.7,12.2,1.1103,1.0453,1.0013,3,2,2,3,2,2,3,2,3,3,2,0.605,0.5,176,72,92,83,93,49,54.2,15.9,1.3,19.4,22.9,15.1,16.9,2.3824,-0.7814,0.0955,0.0788,1.112751,6,10,8,0,3,3,2,1,3,2,0,1,15,15,4,20.5,30,7.5,0,0,41.5
50127,0.373813,0.222317,0.094475,2.68715,1.391571,6.27533,4.066013,5.105619,0.842383,1.112824,1.004982,9.3,17,18.3,1.0477,1.0031,0.9706,4,4,3,4,4,4,3,2,4,4,4,0.501,1.9,136,84,94,95,96,-30.3,-16.2,20,0.8,20.5,22.5,15.6,15.7,0.991,2.1532,0.1794,1.2652,0.902267,2,0,6,6,2,4,2,4,4,0,6,2,24,18,3,6.25,42,10.5,60,15,33.625
50128,0.156752,0.258479,0.09188,2.257072,1.5192,6.162503,2.392422,6.016535,0.831248,1.251826,0.906778,8.7,12,15.6,0.8822,0.9935,0.9374,2,2,3,2,3,2,2,1,3,2,2,0.859,1.1,196,58,79,80,95,-27.9,9.6,NA,1,19.7,19.5,14.9,15.6,0.0838,0.1856,0.8663,0.4827,0.997091,2,2,3,1,0,0,0,0,0,0,3,2,5,14,2,10.5,19,4.75,10,2.5,20.25
